id,observed_on_string,user_id,quality_grade,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
310346546,2025-08-29 17:31:40,8322517,needs_id,17.25416458,-88.50116886,Hibiscus costatus,Hibiscus costatus,,Plantae,278087,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus costatus
310346576,2025-08-29 17:34:08,8322517,research,17.25411491,-88.50075844,Abracris flavolineata,Abracris flavolineata,,Insecta,119627,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Abracris,Abracris flavolineata
310347093,2025-08-30 13:55:00-06:00,8634450,needs_id,17.2503916667,-88.5070633333,"",Diabroticina,,Insecta,461899,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,
310347377,2025-08-30 07:57:00-06:00,8634450,needs_id,17.2469216667,-88.4978466667,"",Lentinus berteroi,,Fungi,904697,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lentinus,Lentinus berteroi
310347895,2025-08-30 06:35:00-06:00,8634450,needs_id,17.23987,-88.5038133333,"",Lygodium venustum,monarch climbing fern,Plantae,84798,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Lygodiaceae,Lygodium,Lygodium venustum
310348280,2025-08-30 06:39:00-06:00,8634450,needs_id,17.24018,-88.503905,"",Hylesia continua,,Insecta,257223,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Hylesia,Hylesia continua
310348575,2025-08-30 06:03:00-06:00,8634450,needs_id,17.240575,-88.5040583333,Xylopia frutescens,Xylopia frutescens,,Plantae,548706,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Xylopia,Xylopia frutescens
310348669,2025-08-30 06:03:00-06:00,8634450,needs_id,17.2423116667,-88.5037466667,Orophus,Orophus,,Insecta,119704,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Orophus,
310348817,2025-08-30 06:04:00-06:00,8634450,needs_id,17.24315,-88.5032666667,"",Pomacea flagellata,Chivita Snail,Mollusca,253938,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea flagellata
310348923,2025-08-30 06:05:00-06:00,8634450,research,17.24313,-88.5031966667,Abracris flavolineata,Abracris flavolineata,,Insecta,119627,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Abracris,Abracris flavolineata
310349556,2025-08-30 06:08:00-06:00,8634450,research,17.24388,-88.5018783333,Tropical Woodskimmer,Uracis imbuta,Tropical Woodskimmer,Insecta,132128,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Uracis,Uracis imbuta
310349826,2025-08-30 06:10:00-06:00,8634450,research,17.2438833333,-88.501755,Lindsaea stricta,Lindsaea stricta,,Plantae,273739,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Lindsaeaceae,Lindsaea,Lindsaea stricta
310349986,2025-08-30 06:11:00-06:00,8634450,needs_id,17.2439466667,-88.5016116667,"",Gymnopus montagnei,pod parachute,Fungi,773741,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus montagnei
310350343,2025-08-30 06:12:00-06:00,8634450,needs_id,17.24505,-88.5008,"",Neonothopanus,,Fungi,552694,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Neonothopanus,
310350520,2025-08-30 06:13:00-06:00,8634450,needs_id,17.24553,-88.50035,"",Polyporaceae,bracket fungi,Fungi,47379,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,
310350598,2025-08-30 06:14:00-06:00,8634450,research,17.2462,-88.5001666667,sore-mouth bush,Palicourea tomentosa,sore-mouth bush,Plantae,1145089,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Palicourea,Palicourea tomentosa
310356524,2025-08-30 06:49:00-06:00,8634450,needs_id,17.246525,-88.4991916667,"",Selaginella pallescens,Pale Spikemoss,Plantae,137045,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,Selaginella pallescens
310356825,2025-08-30 06:51:00-06:00,8634450,research,17.2483216667,-88.4948366667,Passiflora urbaniana,Passiflora urbaniana,,Plantae,332789,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora urbaniana
310357209,2025-08-30 06:53:00-06:00,8634450,research,17.2512366667,-88.4937883333,Maxillaria egertoniana,Maxillaria egertoniana,,Plantae,900237,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,Maxillaria egertoniana
310357445,2025-08-30 10:52:31,3964011,research,17.2621164099,-88.4535127133,Tropical Woodskimmer,Uracis imbuta,Tropical Woodskimmer,Insecta,132128,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Uracis,Uracis imbuta
310357477,2025-08-30 06:55:00-06:00,8634450,research,17.2558833333,-88.4933466667,Crassicrus,Crassicrus,,Arachnida,250115,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Crassicrus,
310357682,2025-08-30 06:57:00-06:00,8634450,research,17.2543383333,-88.5029833333,Lactista stramineus,Lactista stramineus,,Insecta,256476,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Lactista,Lactista stramineus
310357744,2025-08-29 16:19:42,9685670,research,17.25031118,-88.50685924,Central American Gulf Coast Toad,Incilius valliceps,Central American Gulf Coast Toad,Amphibia,65860,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius valliceps
310357830,2025-08-29 17:14:03,9685670,needs_id,17.2550913,-88.5044735,Smeryngolaphria,Smeryngolaphria,,Insecta,447052,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Smeryngolaphria,
310358191,2025-08-30 07:00:00-06:00,8634450,needs_id,17.2544416667,-88.5028133333,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157,Animalia,Arthropoda,Insecta,Lepidoptera,,,
310358997,2025-08-30 07:03:00-06:00,8634450,research,17.2487916667,-88.4944833333,Zebra Longwing,Heliconius charithonia,Zebra Longwing,Insecta,49766,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,Heliconius charithonia
310359426,2025-08-29 17:06:00-06:00,8634450,research,17.2544916667,-88.5027616667,Slender Brown Scorpion,Centruroides gracilis,Slender Brown Scorpion,Arachnida,199925,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Centruroides,Centruroides gracilis
310359692,2025-08-29 17:27:00-06:00,8634450,research,17.2545033333,-88.5028133333,Phasmomantis sumichrasti,Phasmomantis sumichrasti,,Insecta,480065,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Phasmomantis,Phasmomantis sumichrasti
310359976,2025-08-29 15:15:32,2514584,needs_id,17.2509566667,-88.507255,Yellow-banded Polybia Wasp,Polybia occidentalis,Yellow-banded Polybia Wasp,Insecta,300657,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polybia,Polybia occidentalis
310360018,2025-08-29 16:09:00-06:00,8634450,needs_id,17.2544416667,-88.5028133333,"",Pterygota,Winged and Once-winged Insects,Insecta,184884,Animalia,Arthropoda,Insecta,,,,
310360111,2025-08-29 16:10:00-06:00,8634450,needs_id,17.2538133333,-88.50387,byrsonima,Byrsonima crassifolia,Nance,Plantae,154528,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,Byrsonima crassifolia
310360422,2025-08-29 16:27:35,2514584,research,17.2502283333,-88.5069116667,Neoclytus cacicus,Neoclytus cacicus,,Insecta,269829,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Neoclytus,Neoclytus cacicus
310360466,2025-08-29 16:11:00-06:00,8634450,needs_id,17.2529616667,-88.50518,"",Ganoderma,"Artist's Brackets, Reishi, and Allies",Fungi,48475,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,
310360613,2025-08-29 15:12:00-06:00,8634450,needs_id,17.25223,-88.5058883333,Papillaria,Papillaria,,Plantae,156661,Plantae,Bryophyta,Bryopsida,Hypnales,Meteoriaceae,Papillaria,
310360769,2025-08-29 16:30:25,2514584,research,17.25051,-88.5071866667,Miconia ciliata,Miconia ciliata,,Plantae,285568,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia ciliata
310361334,2025-08-29 16:16:00-06:00,8634450,research,17.2522333333,-88.5059366667,Flat-leaved Vanilla,Vanilla planifolia,Flat-leaved Vanilla,Plantae,61393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vanilla,Vanilla planifolia
310361462,2025-08-29 17:17:00-06:00,8634450,research,17.25275,-88.5056916667,sore-mouth bush,Palicourea tomentosa,sore-mouth bush,Plantae,1145089,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Palicourea,Palicourea tomentosa
310361543,2025-08-29 16:31:41,2514584,research,17.25063,-88.50713,Miconia holosericea,Miconia holosericea,,Plantae,285578,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia holosericea
310361696,2025-08-29 16:18:00-06:00,8634450,research,17.2523166667,-88.5058133333,Mouriri exilis,Mouriri exilis,,Plantae,285620,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Mouriri,Mouriri exilis
310361851,2025-08-29 16:31:59,2514584,research,17.25063,-88.50713,Pachyrhizus ferrugineus,Pachyrhizus ferrugineus,,Plantae,280597,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pachyrhizus,Pachyrhizus ferrugineus
310362102,2025-08-29 16:20:00-06:00,8634450,needs_id,17.2526833333,-88.5056383333,"",Camponotus rectangularis,,Insecta,266033,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus rectangularis
310362438,2025-08-30 11:20:24,2514584,research,17.254685,-88.49274,Black Spiny-tailed Iguana,Ctenosaura similis,Black Spiny-tailed Iguana,Reptilia,35303,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,Ctenosaura similis
310362693,2025-08-29 16:23:00-06:00,8634450,research,17.252045,-88.5061033333,Miconia ciliata,Miconia ciliata,,Plantae,285568,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia ciliata
310362834,2025-08-29 16:24:00-06:00,8634450,research,17.2505083333,-88.50702,vase bromeliad,Aechmea bracteata,vase bromeliad,Plantae,210961,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,Aechmea bracteata
310363100,2025-08-30 11:17:20,2514584,research,17.2545716667,-88.4928283333,Racket-tipped Rubyspot,Hetaerina occisa,Racket-tipped Rubyspot,Insecta,102669,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Hetaerina,Hetaerina occisa
310363247,2025-08-29 15:25:00-06:00,8634450,research,17.2517416667,-88.50685,Polybia plebeja,Polybia plebeja,,Insecta,1363537,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polybia,Polybia plebeja
310363589,2025-08-30 10:27:00-06:00,8634450,needs_id,17.2744616667,-88.463005,"",Eriocaulon,pipeworts,Plantae,62373,Plantae,Tracheophyta,Liliopsida,Poales,Eriocaulaceae,Eriocaulon,
310364341,2025-08-30 11:16:26,2514584,needs_id,17.2546466667,-88.4927566667,Typical Astyanax,Astyanax,Typical Astyanax,Actinopterygii,86705,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Astyanax,
310364815,2025-08-30 11:16:09,2514584,needs_id,17.2546466667,-88.4927566667,Jute Snails,Pachychilus,Jute Snails,Mollusca,149906,Animalia,Mollusca,Gastropoda,,Pachychilidae,Pachychilus,
310365111,2025-08-30 11:13:40,2514584,research,17.253985,-88.4930483333,Abracris flavolineata,Abracris flavolineata,,Insecta,119627,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Abracris,Abracris flavolineata
310365289,2025-08-30 11:10:59,2514584,research,17.2529866667,-88.4933,Tropical Woodskimmer,Uracis imbuta,Tropical Woodskimmer,Insecta,132128,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Uracis,Uracis imbuta
310368275,2025-08-30 14:14:12-06:00,112642,needs_id,17.250325,-88.50708,"",Orchidaceae,orchids,Plantae,47217,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,,
310368330,2025-08-30 14:13:59-06:00,112642,needs_id,17.250325,-88.507125,"",Tillandsia,Airplants,Plantae,49571,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,
310368396,2025-08-30 14:13:51-06:00,112642,research,17.25032,-88.50715,Bulbous Airplant,Tillandsia bulbosa,Bulbous Airplant,Plantae,116661,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,Tillandsia bulbosa
310368506,2025-08-30 13:50:13-06:00,112642,needs_id,17.2509833333,-88.5071633333,Specklinia,Specklinia,,Plantae,140296,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,
310368743,2025-08-30 13:46:10-06:00,112642,needs_id,17.2514383333,-88.50712,"",Stachytarpheta,Porterweeds,Plantae,83139,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Stachytarpheta,
310368838,2025-08-30 13:46:05-06:00,112642,research,17.2514366667,-88.5071116667,False heather,Cuphea hyssopifolia,False heather,Plantae,161257,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Cuphea,Cuphea hyssopifolia
310368923,2025-08-30 13:44:09-06:00,112642,research,17.25155,-88.5070333333,Ipomoea peteri,Ipomoea peteri,,Plantae,866757,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea peteri
310369167,2025-08-30 13:43:52-06:00,112642,needs_id,17.2515616667,-88.5070333333,Palicourea,Palicourea pubescens,,Plantae,867422,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Palicourea,Palicourea pubescens
310369476,2025-08-30 13:43:29-06:00,112642,research,17.2515866667,-88.5070283333,Pachyrhizus ferrugineus,Pachyrhizus ferrugineus,,Plantae,280597,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pachyrhizus,Pachyrhizus ferrugineus
310369762,2025-08-30 13:43:19-06:00,112642,research,17.2515883333,-88.5070283333,Miconia tococa,Miconia tococa,,Plantae,1362190,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia tococa
310369968,2025-08-30 13:36:38-06:00,112642,research,17.2517583333,-88.5069366667,Miconia holosericea,Miconia holosericea,,Plantae,285578,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia holosericea
310370045,2025-08-30 11:03:52,2514584,research,17.25079,-88.4937766667,Chamguava gentlei,Chamguava gentlei,,Plantae,285729,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Chamguava,Chamguava gentlei
310370093,2025-08-30 13:42:24-06:00,112642,needs_id,17.2516616667,-88.5067883333,Melastomatoideae,Melastomatoideae,,Plantae,920772,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,,
310370190,2025-08-30 13:36:24-06:00,112642,research,17.251755,-88.5069716667,Miconia ciliata,Miconia ciliata,,Plantae,285568,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia ciliata
310370197,2025-08-30 11:02:55,2514584,research,17.250715,-88.4938316667,Bulbous Airplant,Tillandsia bulbosa,Bulbous Airplant,Plantae,116661,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,Tillandsia bulbosa
310370284,2025-08-30 13:36:05-06:00,112642,research,17.25173,-88.5070116667,Omophoita quadrinotata,Omophoita quadrinotata,,Insecta,311032,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Omophoita,Omophoita quadrinotata
310371271,2025-08-30 13:32:32-06:00,112642,needs_id,17.2513583333,-88.50715,"",Araceae,arum family,Plantae,48536,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,,
310371439,2025-08-30 13:31:49-06:00,112642,needs_id,17.2510133333,-88.5072033333,Melastomatoideae,Melastomatoideae,,Plantae,920772,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,,
310371514,2025-08-30 13:31:46-06:00,112642,research,17.25075,-88.507155,Philodendron dwyeri,Philodendron dwyeri,,Plantae,916802,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron dwyeri
310371618,2025-08-30 13:31:10-06:00,112642,needs_id,17.250745,-88.5071633333,"",Tillandsia,Airplants,Plantae,49571,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,
310371682,2025-08-30 13:30:57-06:00,112642,needs_id,17.2507583333,-88.5071866667,tiger orchids,Maxillaria,tiger orchids,Plantae,117454,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,
310371688,2025-08-30 11:00:05,2514584,needs_id,17.2512566667,-88.4937233333,Black Sheet Lichen,Parmotrema reticulatum,Black Sheet Lichen,Fungi,117892,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,Parmotrema reticulatum
310371951,2025-08-30 13:30:52-06:00,112642,needs_id,17.2507216667,-88.5071633333,"",Orchidaceae,orchids,Plantae,47217,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,,
310372324,2025-08-30 13:30:03-06:00,112642,needs_id,17.2504283333,-88.5069966667,coca trees,Erythroxylum,coca trees,Plantae,64339,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Erythroxylaceae,Erythroxylum,
310372695,2025-08-30 13:24:03-06:00,112642,needs_id,17.2500883333,-88.5069366667,"",Architaenioglossa,"apple snails, river snails, and allies",Mollusca,83796,Animalia,Mollusca,Gastropoda,Architaenioglossa,,,
310372819,2025-08-30 11:26:50-06:00,112642,research,17.27517,-88.4622633333,Everglades palm,Acoelorraphe wrightii,Everglades palm,Plantae,155598,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Acoelorraphe,Acoelorraphe wrightii
310372984,2025-08-30 11:28:46-06:00,112642,research,17.274925,-88.46238,Pine Pink,Bletia purpurea,Pine Pink,Plantae,159276,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Bletia,Bletia purpurea
310373201,2025-08-30 11:27:44-06:00,112642,research,17.2751916667,-88.4622416667,Antiqua Sage,Russelia sarmentosa,Antiqua Sage,Plantae,207751,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Russelia,Russelia sarmentosa
310373878,2025-08-30 10:59:57,2514584,research,17.2512566667,-88.4937233333,Maxillaria egertoniana,Maxillaria egertoniana,,Plantae,900237,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,Maxillaria egertoniana
310374172,2025-08-30 11:19:00-06:00,8634450,research,17.274825,-88.46428,Water Snowflake,Nymphoides indica,Water Snowflake,Plantae,165759,Plantae,Tracheophyta,Magnoliopsida,Asterales,Menyanthaceae,Nymphoides,Nymphoides indica
310374193,2025-08-30 10:55:06,2514584,needs_id,17.2516716667,-88.493575,Calephelis laverna,Calephelis laverna,,Insecta,257958,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Calephelis,Calephelis laverna
310374956,2025-08-30 11:26:50-06:00,112642,research,17.27517,-88.4622633333,Alophia silvestris,Alophia silvestris,,Plantae,283304,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Alophia,Alophia silvestris
310375020,2025-08-30 11:25:09-06:00,112642,research,17.2751716667,-88.4622583333,Gulf Fritillary,Dione vanillae,Gulf Fritillary,Insecta,49150,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Dione vanillae
310375102,2025-08-30 11:19:37-06:00,112642,research,17.275055,-88.4621966667,Miconia albicans,Miconia albicans,,Plantae,285566,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia albicans
310375214,2025-08-30 11:12:14-06:00,112642,research,17.2747033333,-88.4624416667,laurel dodder,Cassytha filiformis,laurel dodder,Plantae,160172,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cassytha,Cassytha filiformis
310375270,2025-08-30 10:56:57-06:00,112642,research,17.2747083333,-88.462425,Passiflora urbaniana,Passiflora urbaniana,,Plantae,332789,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,Passiflora urbaniana
310375334,2025-08-30 10:48:11-06:00,112642,needs_id,17.2745633333,-88.46312,nance family,Malpighiaceae,nance family,Plantae,62782,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,,
310377632,2025-08-30 10:46:30-06:00,112642,research,17.2751466667,-88.463225,Band-winged Dragonlet,Erythrodiplax umbrata,Band-winged Dragonlet,Insecta,50342,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythrodiplax,Erythrodiplax umbrata
310377761,2025-08-30 10:54:38,2514584,needs_id,17.25184,-88.493565,Pselliopus,Pselliopus,,Insecta,82020,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Pselliopus,
310378286,2025-08-30 11:10:30,3964011,research,17.2604611011,-88.4518631548,St. John's worts,Hypericum,St. John's-worts,Plantae,52761,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,
310378377,2025-08-29 16:38:22,8219352,research,17.2521027778,-88.5059472222,Thicket Hogwood,Miconia strigillosa,Thicket Hogwood,Plantae,1358872,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia strigillosa
310378645,2025-08-30 10:54:23,2514584,needs_id,17.25184,-88.493565,Omophoita aequinoctialis,Omophoita aequinoctialis,,Insecta,311030,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Omophoita,Omophoita aequinoctialis
310378886,2025-08-30 10:53:31,2514584,research,17.2517433333,-88.4936583333,Aeneolamia contigua,Aeneolamia contigua,,Insecta,554498,Animalia,Arthropoda,Insecta,Hemiptera,Ischnorhinidae,Aeneolamia,Aeneolamia contigua
310378956,2025-08-30 11:07:01,3964011,research,17.2621407432,-88.4533843026,Miconia albicans,Miconia albicans,,Plantae,285566,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia albicans
310379202,2025-08-30 11:05:07,3964011,research,17.2615916434,-88.452809304,cashew,Anacardium occidentale,cashew,Plantae,122988,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Anacardium,Anacardium occidentale
