id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
237520014,Short-horned Grasshoppers,Hesperiinae,Grass Skippers,Insecta,122493,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Hesperiidae,,
237520158,Xanthosoma,Ficus,Figs,Plantae,50999,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Rosales,Moraceae,Ficus,
237520159,Calephelis,Heliconius charithonia,Zebra Longwing,Insecta,49766,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,Heliconius charithonia
237520299,Frogs and Toads,Chrysomelidae,Leaf Beetles,Insecta,51146,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,,
237520311,Orthorrhaphan Flies,Pachomius,,Arachnida,250076,Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Salticidae,Pachomius,
237520315,Leptodesmidea,Tarkas maculatipes,,Arachnida,746406,Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Salticidae,Tarkas,Tarkas maculatipes
237520319,tropical milkweed,Cleome serrata,,Plantae,160706,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Brassicales,Cleomaceae,Cleome,Cleome serrata
237520415,Racket-tipped Rubyspot,Acalypha,three-seeded mercuries,Plantae,71940,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,
237520507,fivefingers,Libellulidae,Skimmers,Insecta,47819,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Libellulidae,,
237520605,pepper plants,Panicoideae,"bristlegrasses, bluestems, paspalums, and allies",Plantae,326013,Plantae,Tracheophyta,Angiospermae,Liliopsida,Poales,Poaceae,,
237520693,Deloyala fuliginosa,Erythrogonia,,Insecta,337037,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Cicadellidae,Erythrogonia,
237520697,Satin White Palpita,Aceratophallus,,Animalia,252391,Animalia,Arthropoda,Myriapoda,Diplopoda,Polydesmida,Rhachodesmidae,Aceratophallus,
237520905,Winged and Once-winged Insects,Lemini,,Insecta,541007,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,,
237520919,Dark Calephelis,Gomphocerinae,Stridulating Slantface Grasshoppers,Insecta,244406,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,,
237520960,Tiger Bromeliad Spider,Acrididae,Short-horned Grasshoppers,Insecta,47649,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,,
237520999,Gray Cracker,Heliconius charithonia,Zebra Longwing,Insecta,49766,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,Heliconius charithonia
237521020,Great Kiskadee,Sansevieria trifasciata,Snake Plant,Plantae,67710,Plantae,Tracheophyta,Angiospermae,Liliopsida,Asparagales,Asparagaceae,Sansevieria,Sansevieria trifasciata
237521106,Auricularia fuscosuccinea,Xanthosoma,,Plantae,141449,Plantae,Tracheophyta,Angiospermae,Liliopsida,Alismatales,Araceae,Xanthosoma,
237521135,Patches and Allies,Calephelis,,Insecta,129364,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Riodinidae,Calephelis,
237521316,Orphulellini,Anura,Frogs and Toads,Amphibia,20979,Animalia,Chordata,Vertebrata,Amphibia,Anura,,,
237521383,Omophoita simulans,Orthorrhapha,Orthorrhaphan Flies,Insecta,372865,Animalia,Arthropoda,Hexapoda,Insecta,Diptera,,,
237521482,Sphagneticola,Philodendron,philodendrons,Plantae,69807,Plantae,Tracheophyta,Angiospermae,Liliopsida,Alismatales,Araceae,Philodendron,
237521514,Romalea obscura,Paspalum,Paspalum,Plantae,60304,Plantae,Tracheophyta,Angiospermae,Liliopsida,Poales,Poaceae,Paspalum,
237521653,Aztec Spur-throated Grasshopper,Leptodesmidea,,Animalia,841264,Animalia,Arthropoda,Myriapoda,Diplopoda,Polydesmida,,,
237521736,branded grass skippers,Cicadinae,,Insecta,209685,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Cicadidae,,
237521972,provision tree,Asclepias curassavica,tropical milkweed,Plantae,75602,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias curassavica
237522354,,,,,,,,,,,,,
237522383,Queen,Incilius valliceps,Central American Gulf Coast Toad,Amphibia,65860,Animalia,Chordata,Vertebrata,Amphibia,Anura,Bufonidae,Incilius,Incilius valliceps
237522457,nightshades and allies,Hetaerina occisa,Racket-tipped Rubyspot,Insecta,102669,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Calopterygidae,Hetaerina,Hetaerina occisa
237522476,,,,,,,,,,,,,
237522757,Chinese Apple,Syngonium angustatum,fivefingers,Plantae,169502,Plantae,Tracheophyta,Angiospermae,Liliopsida,Alismatales,Araceae,Syngonium,Syngonium angustatum
237522881,,,,,,,,,,,,,
237522989,Malvaviscus,Piper,pepper plants,Plantae,83584,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Piperales,Piperaceae,Piper,
237523022,cabbage trees and allies,Deloyala fuliginosa,,Insecta,310168,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,Deloyala,Deloyala fuliginosa
237523081,Lycianthes,Capra,Goats,Mammalia,42348,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Capra,
237523131,Red Ginger,Palpita flegia,Satin White Palpita,Insecta,311319,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Crambidae,Palpita,Palpita flegia
237523132,Green-eyed Dancer,Pentatominae,,Insecta,51276,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Pentatomidae,,
237523220,Dragonlets,Ruellia,ruellias,Plantae,83892,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,
237523516,Paches gloriosus,Angiospermae,flowering plants,Plantae,47125,Plantae,Tracheophyta,Angiospermae,,,,,
237523556,,,,,,,,,,,,,
237523876,Domestic Sheep,Arecaceae,palms,Plantae,48867,Plantae,Tracheophyta,Angiospermae,Liliopsida,Arecales,Arecaceae,,
237523943,Purple Dancer,Termitoidae,Termites,Insecta,118903,Animalia,Arthropoda,Hexapoda,Insecta,Blattodea,,,
237524163,Dancers,Fungi,Fungi Including Lichens,Fungi,47170,Fungi,,,,,,,
237524214,Beetles,Fabaceae,legumes,Plantae,47122,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Fabales,Fabaceae,,
237524244,Mexican Primrose-willow,Calephelis velutina,Dark Calephelis,Insecta,148667,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Riodinidae,Calephelis,Calephelis velutina
237524253,Red-spotted Stink Bug,Amphibia,Amphibians,Amphibia,20978,Animalia,Chordata,Vertebrata,Amphibia,,,,
237524288,,,,,,,,,,,,,
237524333,,,,,,,,,,,,,
237524470,,,,,,,,,,,,,
237524563,Aceratophallus,Anura,Frogs and Toads,Amphibia,20979,Animalia,Chordata,Vertebrata,Amphibia,Anura,,,
237524664,Leucauge argyra,Cupiennius salei,Tiger Bromeliad Spider,Arachnida,53392,Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Trechaleidae,Cupiennius,Cupiennius salei
237524708,Great Southern White,,,,,,,,,,,,
237524826,trailing daisy,Hippobroma longiflora,Star of Bethlehem,Plantae,154827,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Hippobroma,Hippobroma longiflora
237524891,Conocephalus ictus,Pachira aquatica,provision tree,Plantae,154852,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Pachira,Pachira aquatica
237525172,Ipomoea heterodoxa,,,,,,,,,,,,
237525492,trumpet tree,Hamadryas februa,Gray Cracker,Insecta,148742,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Hamadryas,Hamadryas februa
237525727,sensitive pea,Pitangus sulphuratus,Great Kiskadee,Aves,16956,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus
237525931,Nance,Auricularia fuscosuccinea,,Fungi,328246,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,Auricularia fuscosuccinea
237525945,Guettarda combsii,Chlosyne,Patches and Allies,Insecta,53894,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Chlosyne,
237525954,Lonchocarpus rugosus,Pachira aquatica,provision tree,Plantae,154852,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Pachira,Pachira aquatica
237525997,Sensitive Plant,Orphulellini,,Insecta,523310,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,,
237526317,Vachellia collinsii,,,,,,,,,,,,
237526364,West Indian Elm,Ruellia,ruellias,Plantae,83892,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Lamiales,Acanthaceae,Ruellia,
237526696,Zygia cognata,Acalypha,three-seeded mercuries,Plantae,71940,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,
237526765,Bactris mexicana,,,,,,,,,,,,
237527448,Royal Palm,Hippobroma longiflora,Star of Bethlehem,Plantae,154827,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Hippobroma,Hippobroma longiflora
237527849,Spondias radlkoferi,Omophoita,,Insecta,141742,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,Omophoita,
237527961,Acanthoctenus,Siproeta stelenes,Malachite,Insecta,50336,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Siproeta,Siproeta stelenes
237528448,spurges,Sphagneticola,,Plantae,246103,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,
237528745,night jessamine,Hamelia patens,Firebush,Plantae,126305,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Gentianales,Rubiaceae,Hamelia,Hamelia patens
237529372,Chrysophyllum,Romalea obscura,,Insecta,1501195,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Romaleidae,Romalea,Romalea obscura
237529690,pariparoba,,,,,,,,,,,,
237529741,Cupania belizensis,,,,,,,,,,,,
237530073,pigeonberry,Aidemona azteca,Aztec Spur-throated Grasshopper,Insecta,205316,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Aidemona,Aidemona azteca
237530850,Black Poisonwood,Hesperiina,branded grass skippers,Insecta,1363159,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Hesperiidae,,
237531677,Dalbergia glabra,Pachira aquatica,provision tree,Plantae,154852,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Pachira,Pachira aquatica
237531937,ticktrefoils,Epipremnum aureum,Golden Pothos,Plantae,69223,Plantae,Tracheophyta,Angiospermae,Liliopsida,Alismatales,Araceae,Epipremnum,Epipremnum aureum
237531993,Gregorywood,Danaus gilippus,Queen,Insecta,51743,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
237532151,Neea psychotrioides,Solanoideae,nightshades and allies,Plantae,634936,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Solanales,Solanaceae,,
237532902,Platymiscium dimorphandrum,Cuernavaca,,Insecta,132084,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Dictyopharidae,Cuernavaca,
237533220,Cucujiform Beetles,Ziziphus mauritiana,Chinese Apple,Plantae,123697,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,Ziziphus mauritiana
237533470,Animals,Insecta,Insects,Insecta,47158,Animalia,Arthropoda,Hexapoda,Insecta,,,,
237533580,Orphulella punctata,Danainae,Milkweed Butterflies,Insecta,61244,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,,
237533958,Expanded Lobsterclaw,Malvaviscus,,Plantae,120943,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Malvales,Malvaceae,Malvaviscus,
237535161,Common guava,Pomacea flagellata,Chivita Snail,Mollusca,253938,Animalia,Mollusca,,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea flagellata
237536668,Abracrini,Alticini,Flea Beetles,Insecta,155185,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,,
237536983,brown basilisk,Atta cephalotes,Hairy-headed leafcutter ant,Insecta,153974,Animalia,Arthropoda,Hexapoda,Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes
237537032,White Peacock,Cordyline,cabbage trees and allies,Plantae,50192,Plantae,Tracheophyta,Angiospermae,Liliopsida,Asparagales,Asparagaceae,Cordyline,
237537092,Mahogany,Heliconius charithonia,Zebra Longwing,Insecta,49766,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,Heliconius charithonia
237537366,river koko,Hippobroma longiflora,Star of Bethlehem,Plantae,154827,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Hippobroma,Hippobroma longiflora
237537382,vascular plants,,,,,,,,,,,,
237537433,Three-spotted Skipper,Heliconius charithonia,Zebra Longwing,Insecta,49766,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,Heliconius charithonia
237537450,Common Blue-eye,Hymenocallis,spider lilies,Plantae,126795,Plantae,Tracheophyta,Angiospermae,Liliopsida,Asparagales,Amaryllidaceae,Hymenocallis,
237537453,Big-headed Ants,Erythrodiplax,Dragonlets,Insecta,50343,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Libellulidae,Erythrodiplax,
237537463,Oedionychina,,,,,,,,,,,,
237537482,Vilerna,,,,,,,,,,,,
237537505,Micropanthers,,,,,,,,,,,,
237537510,Cerotoma ruficornis,,,,,,,,,,,,
237537543,Aegithus quadrinotatus,Heliconius charithonia,Zebra Longwing,Insecta,49766,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Heliconius,Heliconius charithonia
237537550,Theona Checkerspot,,,,,,,,,,,,
237537584,Abracris flavolineata,Lycianthes,,Plantae,181651,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Solanales,Solanaceae,Lycianthes,
237537631,Human,Alpinia purpurata,Red Ginger,Plantae,154466,Plantae,Tracheophyta,Angiospermae,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Alpinia purpurata
237537650,Adetus,Insecta,Insects,Insecta,47158,Animalia,Arthropoda,Hexapoda,Insecta,,,,
237537683,Armyworm Moths,Argia frequentula,Green-eyed Dancer,Insecta,94544,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Coenagrionidae,Argia,Argia frequentula
237537686,Band-winged Dragonlet,Cyclophora,Mochas,Insecta,81652,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Geometridae,Cyclophora,
237537726,Adelina,Romalea obscura,,Insecta,1501195,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Romaleidae,Romalea,Romalea obscura
237537751,Miniature Awlsnail,Leiobunum,,Arachnida,61343,Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Sclerosomatidae,Leiobunum,
237537864,Surinam Cockroach,Earliella,,Fungi,179186,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Polyporales,Polyporaceae,Earliella,
237537885,Longhorn Crazy Ant,Anolis,Anoles,Reptilia,36362,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Anolidae,Anolis,
237538168,Attelabinae,Calephelis,,Insecta,129364,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Riodinidae,Calephelis,
237538346,Limoniinae,,,,,,,,,,,,
237538506,Acrocera,Erythrodiplax,Dragonlets,Insecta,50343,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Libellulidae,Erythrodiplax,
237538772,Arrow-shaped Orbweaver,Conocephalus,Lesser Meadow Katydids,Insecta,118890,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus,
237538870,Anaulacomerina,Syngonium angustatum,fivefingers,Plantae,169502,Plantae,Tracheophyta,Angiospermae,Liliopsida,Alismatales,Araceae,Syngonium,Syngonium angustatum
237539019,Orophus,Paches gloriosus,,Insecta,1545734,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Hesperiidae,Paches,Paches gloriosus
237539458,Mexican White-lipped Frog,Paches gloriosus,,Insecta,1545734,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Hesperiidae,Paches,Paches gloriosus
237539555,Bolbitius,Charidotella,,Insecta,133438,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,Charidotella,
237539602,Gold Medallion,Ovis aries,Domestic Sheep,Mammalia,121578,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
237539906,Tabernaemontana alba,Chrysomelidae,Leaf Beetles,Insecta,51146,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,,
237540082,Tropical Orbweaver,Chrysomya,,Insecta,201283,Animalia,Arthropoda,Hexapoda,Insecta,Diptera,Calliphoridae,Chrysomya,
237540154,Helicinidae,Aphis craccivora,Cowpea Aphid,Insecta,145414,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Aphis,Aphis craccivora
237540352,Sidas,Carsidaridae,,Insecta,330264,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Carsidaridae,,
237540470,Tropical Fire Ant,Cassidinae,Tortoise and Hispine Beetles,Insecta,52064,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Chrysomelidae,,
237540542,Omophoita quadrinotata,Argia pulla,Purple Dancer,Insecta,197720,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Coenagrionidae,Argia,Argia pulla
237540577,Thevetia ahouai,Argia,Dancers,Insecta,47977,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Coenagrionidae,Argia,
237540666,Earliella,Atta cephalotes,Hairy-headed leafcutter ant,Insecta,153974,Animalia,Arthropoda,Hexapoda,Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes
237540850,Cohune Palm,Coleoptera,Beetles,Insecta,47208,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,,,
237540885,Coral trees,Ludwigia octovalvis,Mexican Primrose-willow,Plantae,164861,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Myrtales,Onagraceae,Ludwigia,Ludwigia octovalvis
237540933,wild sweet basil,Orphulella,,Insecta,119622,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Orphulella,
237541028,Swag-lined Wave,Pluteus longistriatus,Pleated Pluteus,Fungi,154756,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus longistriatus
237541069,Golden Plushback,Paches gloriosus,,Insecta,1545734,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Hesperiidae,Paches,Paches gloriosus
237541145,White beggarticks,Lycianthes,,Plantae,181651,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Solanales,Solanaceae,Lycianthes,
237541163,Arrowleaf Elephant's Ear,Edessinae,,Insecta,494196,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Pentatomidae,,
237541243,Narrow Stingless Bee,Brachystethus rubromaculatus,Red-spotted Stink Bug,Insecta,208635,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Pentatomidae,Brachystethus,Brachystethus rubromaculatus
237541316,tuftroot,Aceratophallus,,Animalia,252391,Animalia,Arthropoda,Myriapoda,Diplopoda,Polydesmida,Rhachodesmidae,Aceratophallus,
237541509,Pale-banded Crescent,Fungi,Fungi Including Lichens,Fungi,47170,Fungi,,,,,,,
237541525,"bristlegrasses, bluestems, paspalums, and allies",Polydesmida,Flat-backed Millipedes,Animalia,47734,Animalia,Arthropoda,Myriapoda,Diplopoda,Polydesmida,,,
237541591,Field Crickets,Calephelis,,Insecta,129364,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Riodinidae,Calephelis,
237541704,legumes,Fungi,Fungi Including Lichens,Fungi,47170,Fungi,,,,,,,
237541843,Helicina,Atta cephalotes,Hairy-headed leafcutter ant,Insecta,153974,Animalia,Arthropoda,Hexapoda,Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes
237541854,Lycianthes lenta,Leucauge argyra,,Arachnida,53768,Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge argyra
237541884,nightshades,Ascia monuste,Great Southern White,Insecta,51536,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Pieridae,Ascia,Ascia monuste
237541915,Epilampra,,,,,,,,,,,,
237541970,lance wolf spider,Hypercompe,,Insecta,63030,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Erebidae,Hypercompe,
237542347,Beach Spider Lily,Cicadinae,,Insecta,209685,Animalia,Arthropoda,Hexapoda,Insecta,Hemiptera,Cicadidae,,
237542421,Hypercompe caudata,Lepidoptera,Butterflies and Moths,Insecta,47157,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,,,
237542511,Butterflies and Moths,Aidemona azteca,Aztec Spur-throated Grasshopper,Insecta,205316,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Aidemona,Aidemona azteca
237542543,Turkey Berry,Sphagneticola trilobata,trailing daisy,Plantae,246102,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,Sphagneticola trilobata
237542565,Colpoptera,Conocephalus ictus,,Insecta,256562,Animalia,Arthropoda,Hexapoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus,Conocephalus ictus
237546171,Ficus obtusifolia,Ipomoea heterodoxa,,Plantae,277768,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea heterodoxa
237546183,Lonchocarpus castilloi,Cecropia peltata,trumpet tree,Plantae,284772,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Rosales,Urticaceae,Cecropia,Cecropia peltata
237546204,calabur tree,Sabal mauritiiformis,,Plantae,277083,Plantae,Tracheophyta,Angiospermae,Liliopsida,Arecales,Arecaceae,Sabal,Sabal mauritiiformis
